"2020-07-16","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1790","","","","","","","","","",""
"Étel (kcal)","-1586","","","","","","","","","",""
"Testmozgás (kcal)","11","","","","","","","","","",""
"Fennmaradt (kcal)","215","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Banán","77 g","77","69","0.3","0.1","17.6","9.4","0.8","2","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Magkeverék","10 g","10","60","5","0","1.4","0","2.3","0","0"
"Reggeli","Tej 2,8%","150 ml","150","83","4.2","2.7","6.9","6.9","4.4","0","0.1"
"Reggeli","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Reggeli","Citrom","25 g","25","7","0.1","0","2.3","0.6","0.3","0.7","0"
"Reggeli","Idared Alma","100 g","100","55","0","0","0","0","0","0","0"
"Reggeli","Zabpehely","35 g","35","131","2.5","0","22.4","0","4.6","5.6","0"
"Ebéd","C-vitamin + D3 + Cink","0 tabletta","0.5","0","0","0","0","0","0","0","0"
"Ebéd","Omega-3. 1200mg","1 g","1.7","14","1.7","0","0","0","0","0","0"
"Ebéd","Vörös és fehér ribizli","42 g","42","24","0.1","0","5.8","3.1","0.6","1.8","0"
"Ebéd","Kuszkusz","85 g","85","297","1.7","0","60.4","8.5","9.4","0","0"
"Ebéd","Lecsó Kolbásszal","200 g","200","234","22.1","0","3.5","0","5.3","0.4","0"
"Vacsora","Uborka, megpucolva","80 g","80","10","0.1","0","1.7","1.1","0.5","0.6","0"
"Vacsora","Dorlay Topping (Novenyi alapu, cukrozott habspray)","3 g","3","7","0.6","0","0.3","0","0.1","0","0"
"Vacsora","Citrom","25 g","25","7","0.1","0","2.3","0.6","0.3","0.7","0"
"Vacsora","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Vacsora","Puffasztott    Barnarizs-szelet","17 g","17","66","0.5","0.1","13.6","0.1","1.5","0.4","0.1"
"Vacsora","Gofri","20 g","20","87","1.9","1.9","8","4.5","1.7","0.9","0.1"
"Vacsora","Kápia paprika","80 g","80","25","0.2","0","4.3","0","1.1","0","0"
"Vacsora","Fürtös koktélparadicsom","85 g","85","15","0.2","0","1.1","0","0.8","0","0"
"Vacsora","Lilahagyma","45 g","45","19","0","0","4.5","0","0.4","0","0"
"Vacsora","Tojás","1 tojás, egész","50","68","5","0","0.3","0","5.4","0","0"
"Vacsora","Tojás","1 tojás, egész","50","68","5","0","0.3","0","5.4","0","0"
"Nassolnivalók","Zöldségleves","1 adag","434","156","0.6","0","10.7","0","4.9","0","0"
"Nassolnivalók","Dorlay Topping (Novenyi alapu, cukrozott habspray)","1 g","1","2","0.2","0","0.1","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1586","52.2","4.9","188.9","48.7","51","16.3","0.2"
"Cél","","","","1802","58.1","0","219.7","0","87.9","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","300","11","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","17:34","66.3","","","","","","","","",""
"Testtömegindex","17:34","23","","","","","","","","",""
