"2020-07-24","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-2341","","","","","","","","","",""
"Testmozgás (kcal)","1353","","","","","","","","","",""
"Fennmaradt (kcal)","798","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Grill&Fun-Nürnbergi grillkolbász","2 db v. szelet","42.8","143","12.8","4.7","0.4","0.2","6.1","0","0.9"
"Reggeli","Magvas Bagett","30 g","30","64","0.8","0.1","9","0.9","3.8","2.8","0.2"
"Reggeli","Tej 2,8% laktózmentes","250 ml","250","140","7","5","11.5","11.5","7.5","0","0.3"
"Reggeli","Aprószemű zabpehely","30 g","30","112","2.1","0.4","17.6","0.2","4.1","3","0"
"Reggeli","Sárgadinnye","50 g","50","17","0.1","0","4.1","3.9","0.4","0.5","0"
"Reggeli","Tojás","1 tojás, egész","50","68","5","0","0.3","0","5.4","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Ebéd","Sajtos sós teasütemeny","10 g","10","18","1.4","0.6","1.2","0","0.2","0.1","0.1"
"Ebéd","Világos sör","300 ml","300","102","0","0","8.4","2.1","0.9","0","0"
"Ebéd","apenta+ FIT mangó-citrom-zöld tea","300 ml","300","3","0","0","1.5","0","0","0","0"
"Ebéd","Protein Bar Joghurt VanilleCrisp","1 db v. szelet","45","175","5.2","0","14.1","0","22.5","0","0"
"Ebéd","Session ipa","250 ml","250","100","0","0","25","0","2.5","0","0"
"Ebéd","Red Fruits","150 ml","150","63","0.8","0.2","15","15","0.8","0.8","0"
"Vacsora","Kenyer","1 szelet","50","128","0.4","0","26.1","0","4.9","0.6","0"
"Vacsora","Világos sör","500 ml","500","170","0","0","14","3.5","1.5","0","0"
"Vacsora","Session ipa","165 ml","165","66","0","0","16.5","0","1.7","0","0"
"Vacsora","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Vacsora","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Vacsora","Joghurt (laktózmentes)","60 g","60","55","1.7","1.1","8.3","5.6","1.6","0","0.1"
"Vacsora","Baromfi párizsi","45 g","45","92","7.7","0","0.9","0","5","0","0"
"Vacsora","Olivabogyó","35 g","35","49","5.3","0","0.4","0","0.4","0","0"
"Vacsora","Zöldség saláta ","175 g","175","28","0.1","0","5.6","0","2.2","0","0"
"Vacsora","Kamilla tea","300 ml","300","3","0","0","0.6","0","0","0","0"
"Vacsora","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Vacsora","Limmi 100%citromlé","10 ml","10","2","0","0","0.6","0.2","0","0","0"
"Vacsora","Méz","30 g","30","91","0","0","24.7","24.6","0.1","0.1","0"
"Vacsora","Kecskesajt","10 g","10","37","3","0","0.3","0","2.2","0","0"
"Vacsora","Fürjtojás","15 g","15","24","1.7","0","0","0","2","0","0"
"Vacsora","Lecsó","175 g","175","163","14","0","15.8","0","5.3","0","0"
"Nassolnivalók","Hosszú kávé","100 ml","100","3","0","0","0.5","0","0","0","0"
"Nassolnivalók","Protein Bar cookies&cream","1 db v. szelet","45","171","4.9","2.8","13.5","1","22.5","0.3","0.3"
"Nassolnivalók","Zöldalma","130 g","130","104","0","0","28.6","0","0","4","0"
"Nassolnivalók","apenta+ FIT mangó-citrom-zöld tea","450 ml","450","5","0","0","2.3","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2341","82.1","14.9","277.4","75.7","110.9","13.6","1.9"
"Cél","","","","3139","101.3","0","382.8","0","153.1","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Lépcsőzés, gyors tempóban","30","0","292","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","23797","1061","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
