"2020-08-04","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-1570","","","","","","","","","",""
"Testmozgás (kcal)","224","","","","","","","","","",""
"Fennmaradt (kcal)","451","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Ebéd","Zöldbab főzelék","250 g","250","288","23","0","16.5","0","6.3","0","0"
"Ebéd","Szilva","100 g","100","46","0.3","0","11.4","9.9","0.7","1.4","0"
"Ebéd","Étcsoki Fin Carré","20 g","20","105","6.4","0","9.9","0","1.1","0","0"
"Ebéd","Sertés pörkölt","150 g","150","203","18","0","1.5","0","10.5","0","0"
"Vacsora","Arthro Guard","1 tabletta","2","5","0","0","0.7","0","0.4","0","0"
"Vacsora","Paprika (Étkezési TV)","30 g","30","8","0.1","0","1.9","0","0.3","0.3","0"
"Vacsora","C-vitamin + D3 + Cink","1 tabletta","1","1","0","0","0","0","0","0","0"
"Vacsora","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Vacsora","Fit & snack puffasztott szelet","2 adag","18","71","0.9","0.2","13.8","0.1","1.6","0.5","0.2"
"Vacsora","Tonhaltörzs olívaolajban","1 doboz v. konzerv","52","118","7.6","1.3","0","0","12.3","0","0.6"
"Vacsora","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Vacsora","Csirkemell Sonka","44 g","44","27","0.3","0.1","1.1","0","6.6","0","0.5"
"Vacsora","Jégsaláta","1 csésze, aprított","57","8","0.1","0","1.7","1.1","0.5","0.7","0"
"Vacsora","Fürtös koktélparadicsom","2 db v. szelet","50","9","0.1","0","0.7","0","0.5","0","0"
"Vacsora","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Vacsora","Zottarella Bazsalikomos","60 g","60","149","11.4","7.7","0.9","0.9","10.5","0","0.4"
"Nassolnivalók","Fehèrje (Iso whey Zero)","20 g","20","73","0.2","0","0.6","0","17.1","0","0.1"
"Nassolnivalók","Laktózmentes tej","2 adag","250","110","3.8","2.5","11.8","11.8","7.5","0","0.3"
"Nassolnivalók","Deli csoki pisztáciás","37 g","37","162","4.8","2.7","28.1","21.5","1.1","0.6","0.1"
"Nassolnivalók","Superfood mix","17 g","17","81","4.6","0","6.8","0","2.2","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1570","89.5","14.6","108.8","45.6","86.3","3.8","2.2"
"Cél","","","","2021","65.2","0","246.5","0","98.6","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","7","0","148","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","1745","77","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","16:48","66.3","","","","","","","","",""
"Testtömegindex","16:48","23","","","","","","","","",""
