"2020-07-28","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-1870","","","","","","","","","",""
"Testmozgás (kcal)","638","","","","","","","","","",""
"Fennmaradt (kcal)","565","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Laktózmentes tej 1,5 %","300 ml","300","132","4.5","3","13.8","13.8","8.7","0","0.4"
"Reggeli","Classic kávé","10 g","10","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Zöldalma","125 g","125","100","0","0","27.5","0","0","3.9","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","3 grain flakes","55 g","55","189","1.9","0.3","39.2","1.5","5.9","5.6","0"
"Ebéd","Napraforgómag, hántolt, pörkölt","6 g","6","38","3.1","0.4","1.1","0.2","1.2","0","0.6"
"Ebéd","Étcsoki Fin Carré","15 g","15","78","4.8","0","7.4","0","0.8","0","0"
"Ebéd","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Ebéd","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Ebéd","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Ebéd","Tuna light","70 g","70","67","0.3","0.1","0.6","0","15","0","0"
"Ebéd","Laktózmentes Natut Joghurt","50 g","50","30","1.4","0.9","2.5","2.5","1.7","0","0.1"
"Ebéd","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Ebéd","Zottarella Light Mozarella","40 g","40","63","3.4","2.3","0.4","0.4","7.6","0","0.2"
"Ebéd","Zöldség saláta ","175 g","175","28","0.1","0","5.6","0","2.2","0","0"
"Ebéd","Olivabogyó (fekete)","18 g","18","24","2.3","0","0.1","0","0.2","0","0"
"Vacsora","Fürtös koktélparadicsom","1 db v. szelet","30","5","0.1","0","0.4","0","0.3","0","0"
"Vacsora","Étcsoki , egészmogyorós","16 g","16.6","97","7.4","3","5.7","5","1.4","0","0"
"Vacsora","Kamilla tea","300 ml","300","3","0","0","0.6","0","0","0","0"
"Vacsora","Sózott maláta","20 g","20","78","0.6","0","16.2","1.2","2","0","0.3"
"Vacsora","Paradicsomos szósz chilis fokhagymás","5 g","5","3","0","0","0.7","0","0.1","0","0"
"Vacsora","Fit & snack puffasztott szelet","2 adag","18","71","0.9","0.2","13.8","0.1","1.6","0.5","0.2"
"Vacsora","Edámi sajt","17 g","17","58","4.4","3.1","0.2","0","4.4","0","0.3"
"Vacsora","Tészta táska fűszeres zöldségekkel","36 g","36","53","0.6","0.1","9.5","0.2","1.9","1","0.3"
"Vacsora","Kígyóuborka","50 g","50","8","0.1","0","1.8","0","0.3","0","0"
"Vacsora","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Vacsora","Tészta táska csirkehússal és fekete gombával","69 g","69","132","4.8","0.4","15.1","0.2","6.1","2","0.4"
"Nassolnivalók","apenta+ FIT mangó-citrom-zöld tea","1 palack","750","8","0","0","3.8","0","0","0","0.1"
"Nassolnivalók","Banános müzli szelet","21 g","21","81","1.6","0","15.8","0","1.3","0","0"
"Nassolnivalók","Püré ananászos","120 g","120","62","0.4","0","12.8","12.4","0.7","2.5","0.1"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","15 g","15","95","7.8","1.1","2.9","0.5","3","0","1.5"
"Nassolnivalók","Gofri","28 g","28.6","124","2.7","2.7","11.4","6.5","2.5","1.2","0.1"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1870","67.4","17.7","221.2","51.7","84.2","18.7","4.5"
"Cél","","","","2435","78.6","0","297","0","118.8","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","6","0","124","","","","","","","",""
"calisthenics","6","0","124","","","","","","","",""
"Kerékpározás, átlagos","25","0","111","","","","","","","",""
"Kerékpározás, átlagos","23","0","103","","","","","","","",""
"Kerékpározás, átlagos","22","0","98","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","2258","78","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","11:00","66.3","","","","","","","","",""
"Testtömegindex","11:00","23","","","","","","","","",""
