"2020-07-21","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-2418","","","","","","","","","",""
"Testmozgás (kcal)","685","","","","","","","","","",""
"Fennmaradt (kcal)","54","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Reggeli","Görögsaláta feta sajttal","350 g","350","218","13","0","11.9","0","10.2","0","0"
"Reggeli","Piritós","1 szelet","22","64","0.9","0","12","0","2","0.6","0"
"Reggeli","Tej 2,8% laktózmentes","200 ml","200","112","5.6","4","9.2","9.2","6","0","0.3"
"Reggeli","Szilva","1 gyümölcs","66","30","0.2","0","7.5","6.5","0.5","0.9","0"
"Reggeli","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Ebéd","Session ipa","775 ml","775","310","0","0","77.5","0","7.8","0","0"
"Ebéd","Narancslé 50%","250 ml","250","98","0","0","23","22.5","1.3","0","0.1"
"Ebéd","Porter Óvatos Duhaj","2 adag","200","80","2","0","2","0","2","0","0"
"Ebéd","Meggysör","100 ml","100","56","0","0","8","0","0","0","0"
"Ebéd","Sonkás sajtos mártás","100 g","100","130","11.5","0","4.3","0","3","0","0"
"Ebéd","Edam sajt","10 g","10","36","2.8","1.8","0.1","0.1","2.5","0","0"
"Ebéd","Spenótos-csirkés gnocchi","275 g","275","319","6.1","0","33","0","24.8","0","0"
"Vacsora","Tej 2,8% laktózmentes","100 ml","100","56","2.8","2","4.6","4.6","3","0","0.1"
"Vacsora","Tej 2,8% laktózmentes","100 ml","100","56","2.8","2","4.6","4.6","3","0","0.1"
"Vacsora","Bécsi virsli","1 db v. szelet","50","142","12.5","6","0.3","0.3","6.5","0","0"
"Vacsora","Bécsi virsli","1 db v. szelet","50","142","12.5","6","0.3","0.3","6.5","0","0"
"Vacsora","Görögsaláta feta sajttal","250 g","250","156","9.3","0","8.5","0","7.3","0","0"
"Vacsora","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"Vacsora","Görögdinnye","1 adag","200","58","0.4","0","13","0","1","1.6","0"
"Vacsora","Session ipa","330 ml","330","132","0","0","33","0","3.3","0","0"
"Vacsora","Dreher Bak","170 ml","170","116","0","0","10","0.7","1.2","0","0"
"Vacsora","Földimogyoró","5 g","5","30","2.4","0","0.7","0","1.3","0","0"
"Vacsora","Szűztea Keksz","3 g","3","6","0.5","0.2","0.4","0","0.1","0.2","0"
"Nassolnivalók","Mezes magvak","17 g","17","66","3.2","0","4.4","0","2.8","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2418","88.3","22","269.7","49.1","96","3.8","0.6"
"Cél","","","","2471","79.7","0","301.4","0","120.6","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Séta, átlagos tempóban","20","0","95","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","11495","590","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
