"2020-07-29","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-1995","","","","","","","","","",""
"Testmozgás (kcal)","726","","","","","","","","","",""
"Fennmaradt (kcal)","528","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Reggeli","3 grain flakes","55 g","55","189","1.9","0.3","39.2","1.5","5.9","5.6","0"
"Reggeli","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Laktózmentes tej 1,5 %","250 ml","250","110","3.8","2.5","11.5","11.5","7.3","0","0.3"
"Ebéd","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Ebéd","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Ebéd","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Ebéd","Tuna light","70 g","70","67","0.3","0.1","0.6","0","15","0","0"
"Ebéd","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Ebéd","Laktózmentes Natut Joghurt","60 g","60","35","1.7","1.1","3","3","2","0","0.1"
"Ebéd","Zottarella Light Mozarella","40 g","40","63","3.4","2.3","0.4","0.4","7.6","0","0.2"
"Ebéd","Zöldség saláta ","200 g","200","32","0.1","0","6.4","0","2.5","0","0"
"Ebéd","Olivabogyó (fekete)","18 g","18","24","2.3","0","0.1","0","0.2","0","0"
"Vacsora","Kígyóuborka","35 g","35","5","0","0","1.3","0","0.2","0","0"
"Vacsora","Nutridrink","1 palack","200","300","11.6","1.2","36.8","13.4","11.8","0","0"
"Vacsora","Fieszta müzliszelet","20 g","20","66","1.3","0","15.1","0","0.8","0","0"
"Vacsora","pomelo-grapefruit","500 ml","500","145","0","0","36","34","0","0","0"
"Vacsora","Csirkemellsonka","30 g","30","31","1.2","0","0.6","0","4.2","0","0.6"
"Vacsora","Wellness kenyér","60 g","60","159","4.6","0","19.1","0","7.6","0","0"
"Vacsora","Fürtös koktélparadicsom","1 db v. szelet","30","5","0.1","0","0.4","0","0.3","0","0"
"Vacsora","Flora original omega 3 és 6","2 adag","12","48","5.4","1.1","0","0","0","0","0.1"
"Vacsora","Nektarin","150 g","150","66","0.5","0","15.8","11.8","1.6","2.6","0"
"Vacsora","Mandulabél, pörkölt, sós","30 g","30","194","16.5","0","2.1","0","8.7","0","0"
"Nassolnivalók","Banán","77 g","77","69","0.3","0.1","17.6","9.4","0.8","2","0"
"Nassolnivalók","Almalé","200 ml","200","78","1","0","18.4","0","1","0","0"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","10 g","10","63","5.2","0.7","1.9","0.3","2","0","1"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1995","69.5","9.5","239.3","92.6","109.2","12.1","2.4"
"Cél","","","","2523","81.4","0","307.6","0","123.1","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","9","0","186","","","","","","","",""
"Kerékpározás, átlagos","20","0","89","","","","","","","",""
"Kerékpározás, átlagos","29","0","129","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","5390","322","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
