"2020-08-01","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-4180","","","","","","","","","",""
"Testmozgás (kcal)","2512","","","","","","","","","",""
"Fennmaradt (kcal)","129","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Classic kávé","8 g","8","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Tej laktózmentes","280 g","280","123","4.2","0","13.2","0","8.4","0","0.3"
"Reggeli","Magkeverék","10 g","10","60","5","0","1.4","0","2.3","0","0"
"Reggeli","3 grain flakes","50 g","50","172","1.8","0.3","35.6","1.4","5.4","5.1","0"
"Reggeli","Banán","90 g","90","80","0.3","0.1","20.6","11","1","2.3","0"
"Reggeli","Omega-3. 1200mg","2 g","2","17","2","0","0","0","0","0","0"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Fehèrje (Iso whey Zero)","1 adag","25","91","0.2","0","0.7","0","21.4","0","0.1"
"Ebéd","Kombucha Classic","300 ml","300","75","0","0","16.5","16.5","0.3","0","0"
"Ebéd","Laktózmentes levendula-kókusz ízű tej","225 g","225","128","6.3","4.3","10.6","10.6","6.8","0","0.3"
"Ebéd","Big Apple - gluténmentes sör","165 ml","165","99","0.5","0","9.7","9.7","0.5","0","0"
"Ebéd","Feketeribizli sör","125 ml","125","78","0","0","11.9","0","0","0","0"
"Ebéd","Pecheresse","125 ml","125","70","0","0","17.5","0","0","0","0"
"Ebéd","Szalámis Szendvics","85 g","85","270","14.8","7.7","19.5","0","8.3","0","1.2"
"Ebéd","Classic szendvics","105 g","105","194","7","0","23","0","8.2","0","0"
"Ebéd","Superfood mix","7 g","7","33","1.9","0","2.8","0","0.9","0","0"
"Ebéd","paranyica","40 g","40","103","6.8","4.4","1","0","9.6","0","0.8"
"Ebéd","Wellmix sport 32% protein vanill","1 db v. szelet","35","134","3.5","2.1","15.1","3.5","11.2","0","0.1"
"Ebéd","Superfood mix","7 g","7","33","1.9","0","2.8","0","0.9","0","0"
"Ebéd","Wellmix balance  white cookie choc","45 g","45","167","6.3","3.9","16.7","1.7","14.9","3.1","0.4"
"Ebéd","Vörös bor","170 ml","170","145","0","0","4.4","1.1","0.1","0","0"
"Vacsora","Sült bacon - serpenyőben","2 szelet","27.6","40","0.8","0.3","0.5","0.3","7.7","0","0"
"Vacsora","Mandulabél, pörkölt, sós","25 g","25","162","13.8","0","1.8","0","7.3","0","0"
"Vacsora","Csirkemell Sonka","33 g","33.5","21","0.2","0.1","0.9","0","5","0","0.4"
"Vacsora","Zottarella Bazsalikomos","60 g","60","149","11.4","7.7","0.9","0.9","10.5","0","0.4"
"Vacsora","Görög Joghurt","55 g","55","56","4.1","2.5","2.7","2.7","2","0","0"
"Vacsora","Fürtös koktélparadicsom","0 db v. szelet","15","3","0","0","0.2","0","0.1","0","0"
"Vacsora","Kígyóuborka","60 g","60","9","0.1","0","2.2","0","0.4","0","0"
"Vacsora","Wellmix sport 32% protein vanill","1 db v. szelet","35","134","3.5","2.1","15.1","3.5","11.2","0","0.1"
"Vacsora","BBQ szósz","15 g","15","23","0","0","5.3","0","0.2","0","0.2"
"Vacsora","Hot Dog","150 g","150","365","9.4","0","48.6","0","18.4","0","0"
"Vacsora","Banán","95 g","95","85","0.3","0.1","21.7","11.6","1","2.5","0"
"Vacsora","Óvatos Dubaj APA","300 ml","300","153","0","0","30","0","0","0","0"
"Vacsora","Száraz fehérbor","200 ml","200","118","0","0","38","0","0.2","0","0"
"Vacsora","Mogyoró, pörkölt ","15 g","15","90","7.9","1.3","2.3","0.6","4.2","1.4","0"
"Nassolnivalók","Szilva fahéjjal szörp","30 ml","30","62","0.1","0","15","14.9","0.1","0","0"
"Nassolnivalók","Száraz fehérbor","100 ml","100","59","0","0","19","0","0.1","0","0"
"Nassolnivalók","Alföld Aranya 100% Rostos meggyl","1 pohár","200","132","0","0","22","18","0","0","0"
"Nassolnivalók","Mivel your body!","1 palack","600","48","0","0","12","12","0","0","0.1"
"Nassolnivalók","ISO+ Isotonic Sport Drink","1 adag","38","131","0","0","33.2","25.3","0","0","0.8"
"Nassolnivalók","Sör alkoholmentes","170 ml","170","41","0","0","8","0","0.5","0","0"
"Nassolnivalók","Óvatos Dubaj APA","170 ml","170","87","0","0","17","0","0","0","0"
"Nassolnivalók","Meggysör","250 ml","250","140","0","0","20","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","4180","114.1","36.7","539","145.2","169.2","14.4","5"
"Cél","","","","4309","139","0","525.5","0","210.2","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","5","0","106","","","","","","","",""
"calisthenics","6","0","117","","","","","","","",""
"Kerékpározás, átlagos","73","0","323","","","","","","","",""
"Kerékpározás, gyors tempóban","45","0","389","","","","","","","",""
"Kerékpározás, átlagos","13","0","61","","","","","","","",""
"Kerékpározás, átlagos","84","0","375","","","","","","","",""
"Kerékpározás, átlagos","24","0","108","","","","","","","",""
"Kerékpározás, átlagos","13","0","61","","","","","","","",""
"Kerékpározás, átlagos","40","0","179","","","","","","","",""
"Kerékpározás, átlagos","48","0","216","","","","","","","",""
"Kerékpározás, átlagos","52","0","232","","","","","","","",""
"Kerékpározás, átlagos","20","0","91","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","4964","256","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","07:48","66","","","","","","","","",""
"Testtömegindex","07:48","23","","","","","","","","",""
