"2020-07-27","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-1220","","","","","","","","","",""
"Testmozgás (kcal)","151","","","","","","","","","",""
"Fennmaradt (kcal)","717","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Reggeli","Laktózmentes tej 1,5 %","275 ml","275","121","4.1","2.8","12.7","12.7","8","0","0.4"
"Reggeli","3 grain flakes","50 g","50","172","1.8","0.3","35.6","1.4","5.4","5.1","0"
"Reggeli","Pannonhalmi májvédő teakeverék","10 g","10","0","0","0","0","0","0","0","0"
"Ebéd","Classic kávé","12 g","12","2","0","0","0.1","0","0.2","0","0"
"Ebéd","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Ebéd","Citrom","15 g","15","4","0","0","1.4","0.4","0.2","0.4","0"
"Ebéd","Zöld tea","350 ml","350","0","0","0","0","0","0","0","0"
"Ebéd","Étcsoki Fin Carré","15 g","15","78","4.8","0","7.4","0","0.8","0","0"
"Ebéd","Zöldborsó főzelék","170 g","170","142","4.3","0","19","0","7.2","0","0"
"Ebéd","Csirkepörkölt","125 g","125","148","6.6","0","2.8","0","18.8","0","0"
"Vacsora","Csirkemellsonka","30 g","30","31","1.2","0","0.6","0","4.2","0","0.6"
"Vacsora","Fit & snack puffasztott szelet","2 adag","18","71","0.9","0.2","13.8","0.1","1.6","0.5","0.2"
"Vacsora","Uborka, megpucolva","35 g","35","4","0.1","0","0.8","0.5","0.2","0.2","0"
"Vacsora","Fürtös koktélparadicsom","2 db v. szelet","50","9","0.1","0","0.7","0","0.5","0","0"
"Vacsora","Zöld saláta","50 g","50","8","0.1","0","1.4","0.4","0.7","0.7","0"
"Vacsora","Zottarella Light Mozarella","65 g","65","102","5.5","3.8","0.7","0.7","12.4","0","0.4"
"Vacsora","Edámi sajt","17 g","17","58","4.4","3.1","0.2","0","4.4","0","0.3"
"Vacsora","Olivabogyó (fekete)","22 g","22","29","2.9","0","0.1","0","0.2","0","0"
"Vacsora","Nektarin","160 g","160","70","0.5","0","16.9","12.6","1.7","2.7","0"
"Vacsora","Napraforgómag, hántolt, pörkölt","8 g","8","50","4.2","0.6","1.5","0.2","1.6","0","0.8"
"Nassolnivalók","Napraforgómag, hántolt, pörkölt","12 g","12","76","6.2","0.8","2.3","0.4","2.4","0","1.2"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","1220","47.8","11.6","128.7","36.2","71.4","11.2","3.8"
"Cél","","","","1937","62.5","0","236.2","0","94.5","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"calisthenics","4","0","80","","","","","","","",""
"Köredzés, erősítés","8","0","71","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","67","0","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","12:15","66.3","","","","","","","","",""
"Testtömegindex","12:15","23","","","","","","","","",""
