"2020-07-14","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1786","","","","","","","","","",""
"Étel (kcal)","-2031","","","","","","","","","",""
"Testmozgás (kcal)","553","","","","","","","","","",""
"Fennmaradt (kcal)","308","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Zabpehely","50 g","50","187","3.5","0","32","0","6.5","8","0"
"Reggeli","Áfonya","25 g","25","12","0","0","3.1","1","0.1","1.2","0"
"Reggeli","Banán","1 gyümölcs","100","105","0","0","24.2","0","1.3","0.4","0"
"Reggeli","Fahéj","0 g","0.5","1","0","0","0.3","0","0","0.1","0"
"Reggeli","Kávé","1 csésze","237","2","0","0","0","0","0.3","0","0"
"Reggeli","Kamilla tea","300 ml","300","3","0","0","0.6","0","0","0","0"
"Reggeli","Tej laktózmentes","175 g","175","77","2.6","0","8.2","0","5.3","0","0.2"
"Ebéd","Körte","1 gyümölcs, közepes","178","101","0.2","0","27.1","17.4","0.6","5.5","0"
"Ebéd","Eszpresszó kávé","100 ml","100","9","0.2","0.1","1.7","0","0.1","0","0"
"Ebéd","Hársfavirág gyógytea","300 g","300","3","0","0","0","0","0","0","0"
"Ebéd","Kuszkusz","125 g","125","461","2.5","0","91.1","0","16.5","0","0"
"Ebéd","Főtt disznóhús","175 g","175","212","7","0","0.4","0","36.9","0","0"
"Ebéd","Tejszínes gombás ","100 g","100","126","6","0","5.6","0","11.9","0","0"
"Vacsora","Gyümölcs lekvár","11 g","11","31","0","0","7.6","5.3","0","0.1","0"
"Vacsora","Gofri","20 g","20","87","1.9","1.9","8","4.5","1.7","0.9","0.1"
"Vacsora","Puffasztott    Barnarizs-szelet","17 g","17","66","0.5","0.1","13.6","0.1","1.5","0.4","0.1"
"Vacsora","Kápia paprika","69 g","69","21","0.1","0","3.7","0","1","0","0"
"Vacsora","Kígyóuborka","84 g","84","13","0.1","0","3","0","0.5","0","0"
"Vacsora","Főtt tojás","1 adag","52","88","6","0","0","0","7","0","0"
"Vacsora","Hónapos retek","38 g","38","6","0","0","1.3","0","0.2","0","0"
"Vacsora","Fürtös koktélparadicsom","1 db v. szelet","20","4","0","0","0.3","0","0.2","0","0"
"Vacsora","Fürtös koktélparadicsom","1 db v. szelet","20","4","0","0","0.3","0","0.2","0","0"
"Vacsora","Edámi sajt","16 g","16","55","4.2","2.9","0.2","0","4.2","0","0.2"
"Nassolnivalók","Idared Alma","100 g","100","55","0","0","0","0","0","0","0"
"Nassolnivalók","Nutridrink","1 palack","200","300","11.6","1.2","36.8","13.4","11.8","0","0"
"Nassolnivalók","apenta+ FIT mangó-citrom-zöld tea","375 ml","375","4","0","0","1.9","0","0","0","0"
"Nassolnivalók","Zöld tea","1 adag","250","0","0","0","0","0","0","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2031","46.7","6.2","270.9","41.8","107.8","16.6","0.6"
"Cél","","","","2340","75.5","0","285.3","0","114.1","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"Kerékpározás, átlagos","40","0","284","","","","","","","",""
"Kerékpározás, átlagos","13","0","61","","","","","","","",""
"Kerékpározás, átlagos","34","0","153","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","1134","56","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
"Testsúly (kg)","10:02","66.8","","","","","","","","",""
"Testtömegindex","10:02","23","","","","","","","","",""
