"2020-08-02","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1797","","","","","","","","","",""
"Étel (kcal)","-2458","","","","","","","","","",""
"Testmozgás (kcal)","211","","","","","","","","","",""
"Plusz (kcal)","450","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Magkeverék","12 g","12","72","6","0","1.6","0","2.7","0","0"
"Reggeli","Tej laktózmentes","310 g","310","136","4.7","0","14.6","0","9.3","0","0.3"
"Reggeli","3 grain flakes","55 g","55","189","1.9","0.3","39.2","1.5","5.9","5.6","0"
"Ebéd","Felbarna hidegkomlos","1 doboz v. konzerv","500","175","0","0","13","0","2","0","0"
"Ebéd","Meggysör","220 ml","220","123","0","0","17.6","0","0","0","0"
"Ebéd","Superfood mix","20 g","20","95","5.4","0","8","0","2.6","0","0"
"Ebéd","Ipa","500 ml","500","235","0","0","18.5","2.5","2.5","0","0"
"Ebéd","White Space Witbier","165 ml","165","74","0","0","6.6","0","0.7","0","0"
"Ebéd","Csemege Uborka","40 g","40","10","0.2","0","1.8","1.6","0.4","0.8","0.5"
"Ebéd","Sertés pörkölt","100 g","100","135","12","0","1","0","7","0","0"
"Ebéd","Nokedli","45 g","45","96","1.5","0","16.7","0","3.5","0","0"
"Ebéd","Tarhonya","35 g","35","120","0.9","0","23.3","0","4.5","1.8","2.1"
"Ebéd","Szilva","1 gyümölcs","99","46","0.3","0","11.3","9.8","0.7","1.4","0"
"Vacsora","Étcsoki , egészmogyorós","17 g","17","100","7.5","3","5.8","5.1","1.5","0","0"
"Vacsora","Kakaós krémmel töltött ostya","2 db v. szelet","13.6","68","4.8","3","7.2","0.2","0.6","0","0"
"Vacsora","Száraz fehérbor","300 ml","300","176","0","0","57","0","0.3","0","0"
"Vacsora","Rántott csirkemell","1 adag, egész","100","147","6.1","0","8.7","0","13","0","0"
"Vacsora","Sültkrumpli","100 g","100","134","3.4","0","22.1","0","2.3","0","0.2"
"Vacsora","Rántott hagymakarika","2 food.serving.label.each","32","70","3.2","0.4","9","0","1.1","0","0.4"
"Vacsora","Gouda sajtkarika","17 g","17","51","2.8","0","4.1","0","2","0","0"
"Nassolnivalók","Mogyoró, pörkölt ","15 g","15","90","7.9","1.3","2.3","0.6","4.2","1.4","0"
"Nassolnivalók","Popcorn","25 g","25","116","6","3","13.3","0","2","0","0.8"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2458","74.5","11.1","302.8","21.4","68.8","10.9","4.2"
"Cél","","","","2008","64.8","0","244.8","0","97.9","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","5979","211","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
