"2020-07-17","","","","","","","","","","",""
"","","","","","","","","","","",""
"Cél (kcal)","1790","","","","","","","","","",""
"Étel (kcal)","-2144","","","","","","","","","",""
"Testmozgás (kcal)","487","","","","","","","","","",""
"Fennmaradt (kcal)","134","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Előzmények","Név","adag","g, ml","kcal","Zsír (g)","Telített zsírok (g)","Szénhidrátok (g)","Cukrok (g)","Fehérje (g)","Élelmi rost (g)","Só (g)"
"Reggeli","Zabpehely","35 g","35","131","2.5","0","22.4","0","4.6","5.6","0"
"Reggeli","Citrom","20 g","20","6","0.1","0","1.9","0.5","0.2","0.6","0"
"Reggeli","Grapefruit Piros","1 gyümölcs","100","42","0.1","0","10.7","6.9","0.8","1.6","0"
"Reggeli","Félzsíros tej 2,8%","215 g","215","120","6","3.7","9.9","9.9","6.5","0","0.2"
"Reggeli","Actival Energia multivitamin ginzenggel, L-karitinnel","1 tabletta","1.3","0","0","0","0","0","0","0","0"
"Reggeli","Magkeverék","10 g","10","60","5","0","1.4","0","2.3","0","0"
"Ebéd","Lecsó Kolbásszal","200 g","200","234","22.1","0","3.5","0","5.3","0.4","0"
"Ebéd","Kuszkusz","70 g","70","244","1.4","0","49.7","7","7.7","0","0"
"Ebéd","Körte","1 gyümölcs, közepes","178","101","0.2","0","27.1","17.4","0.6","5.5","0"
"Vacsora","Grillezett csirkemell","100 g","100","121","2","0","0","0","24","0","0"
"Vacsora","Görögsaláta feta sajttal","1 adag","420","262","15.5","0","14.3","0","12.2","0","0"
"Vacsora","Málnás búzasör","330 ml","330","182","0","0","19.8","0","0","0","0"
"Vacsora","Session ipa","1 doboz v. konzerv","330","132","0","0","33","0","3.3","0","0"
"Vacsora","Grillezett csirkemell","100 g","100","121","2","0","0","0","24","0","0"
"Nassolnivalók","Maxi King","1 db v. szelet","35","182","13.1","0","13.4","0","2.3","0","0.1"
"Nassolnivalók","Gofri","20 g","20","87","1.9","1.9","8","4.5","1.7","0.9","0.1"
"Nassolnivalók","Gyümölcs lekvár","3 g","3","8","0","0","2.1","1.5","0","0","0"
"Nassolnivalók","Gofri","20 g","20","87","1.9","1.9","8","4.5","1.7","0.9","0.1"
"Nassolnivalók","Vörös és fehér ribizli","42 g","42","24","0.1","0","5.8","3.1","0.6","1.8","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Eddig","","","","2144","73.9","7.6","230.8","55.3","97.7","17.2","0.4"
"Cél","","","","2277","73.5","0","277.7","0","111.1","0","0"
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Időtartam (perc)","Lépések","Elégetett kalória (kcal)","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testmozgások","Lépések","Elégetett kalória (kcal)","","","","","","","","",""
"","11370","487","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"Testméretek","","","","","","","","","","",""
