2020-07-01,2020-07-31,,,,,,,,,
,,,,,,,,,,
Előzmények,Testsúly (kg),Testmozgás (kcal),Étel (kcal),Zsír (g),Telített zsírok (g),Szénhidrátok (g),Cukrok (g),Fehérje (g),Élelmi rost (g),Só (g)
2020-07-01,,155,0,0,0,0,0,0,0,0
2020-07-02,,234,0,0,0,0,0,0,0,0
2020-07-04,,522,0,0,0,0,0,0,0,0
2020-07-05,,1341,0,0,0,0,0,0,0,0
2020-07-06,,625,0,0,0,0,0,0,0,0
2020-07-07,,447,0,0,0,0,0,0,0,0
2020-07-08,,385,0,0,0,0,0,0,0,0
2020-07-09,,379,0,0,0,0,0,0,0,0
2020-07-10,,46,0,0,0,0,0,0,0,0
2020-07-11,,110,0,0,0,0,0,0,0,0
2020-07-12,,40,0,0,0,0,0,0,0,0
2020-07-13,,345,0,0,0,0,0,0,0,0
2020-07-14,66.8,553,2031,46.7,6.2,270.9,41.8,107.8,16.6,0.6
2020-07-15,66.8,344,1960,58.3,12.7,250,68.4,72.4,14.2,5.5
2020-07-16,66.3,11,1586,52.2,4.9,188.9,48.7,51,16.3,0.2
2020-07-17,,487,2144,73.9,7.6,230.8,55.3,97.7,17.2,0.4
2020-07-18,,681,1939,78.3,12.3,180.7,55.2,97.5,6.1,1.9
2020-07-19,,354,2006,72.1,14.2,176.2,53.1,132.6,3.6,1.7
2020-07-20,,1248,1802,85.3,19.6,119.5,58.8,103.3,3.6,10
2020-07-21,,685,2418,88.3,22,269.7,49.1,96,3.8,0.6
2020-07-22,,1288,2842,101,20.8,334.5,65.3,134.8,18.9,7.7
2020-07-23,,848,1772,56.5,11.5,233.3,68.8,82.5,9.9,1.8
2020-07-24,,1353,2341,82.1,14.9,277.4,75.7,110.9,13.6,1.9
2020-07-25,,929,2368,47.1,9.3,278.1,41.4,172.6,10.1,3.1
2020-07-26,,128,1688,58.6,11.2,116.8,26.7,93.5,6.4,5.1
2020-07-27,66.3,151,1220,47.8,11.6,128.7,36.2,71.4,11.2,3.8
2020-07-28,66.3,638,1870,67.4,17.7,221.2,51.7,84.2,18.7,4.5
2020-07-29,,726,1995,69.5,9.5,239.3,92.6,109.2,12.1,2.4
2020-07-30,66.3,824,2190,82.3,1.2,201.2,21.8,116.4,5.6,1.9
2020-07-31,,496,2187,86,19.9,270.6,66,102.3,15.6,2.4
,,,,,,,,,,
,,,,,,,,,,
Cél,64,,1797,58,,219.2,,87.7,,
